Delta,PSNR,Correlation (No Noise),Correlation (With Noise),Similarity (With Noise)
77.0,31.383202171397922,1.0,1.0,1.0
77.5,31.33617085751778,1.0,1.0,1.0
78.0,31.2852993753428,1.0,1.0,1.0
78.5,31.22797600023798,1.0,1.0,1.0
79.0,31.167297322955314,1.0,1.0,1.0
79.5,31.10643171368598,1.0,1.0,1.0
80.0,31.04876552667963,1.0,1.0,1.0
80.5,30.994338786583956,1.0,1.0,1.0
81.0,30.945303737462694,1.0,1.0,1.0
81.5,30.900364475710802,1.0,1.0,1.0
82.0,30.853879049170104,1.0,1.0,1.0
82.5,30.806367801248594,1.0,1.0,1.0
83.0,30.75307180464995,1.0,1.0,1.0
83.5,30.697247386404186,1.0,1.0,1.0
84.0,30.63914561175175,1.0,1.0,1.0
84.5,30.584845004317543,1.0,1.0,1.0
85.0,30.5309880693636,1.0,1.0,1.0
85.5,30.478757940279028,1.0,1.0,1.0
86.0,30.428293333650057,1.0,1.0,1.0
86.5,30.376877578354808,1.0,1.0,1.0
87.0,30.327704998294045,1.0,1.0,1.0
87.5,30.27973504561025,1.0,1.0,1.0
88.0,30.234657199118217,1.0,1.0,1.0
88.5,30.1883413768551,1.0,1.0,1.0
89.0,30.145074108957665,1.0,1.0,1.0
89.5,30.10309975082514,1.0,1.0,1.0
90.0,30.057344960676232,1.0,1.0,1.0
90.5,30.009959419029705,1.0,1.0,1.0
91.0,29.95882213173992,1.0,1.0,1.0
91.5,29.90784694270626,1.0,1.0,1.0
92.0,29.854380347936818,1.0,1.0,1.0
92.5,29.804089268753234,1.0,1.0,1.0
93.0,29.757094481292754,1.0,1.0,1.0
93.5,29.71089167891277,1.0,1.0,1.0
94.0,29.667073030968773,1.0,1.0,1.0
94.5,29.62329679564075,1.0,1.0,1.0
95.0,29.58065967635264,1.0,1.0,1.0
95.5,29.53862310893484,1.0,1.0,1.0
96.0,29.498231383388823,1.0,1.0,1.0
96.5,29.456790742003726,1.0,1.0,1.0
97.0,29.415071937400974,1.0,1.0,1.0
97.5,29.371801592021125,1.0,1.0,1.0
98.0,29.326166479913425,1.0,1.0,1.0
98.5,29.27950174144021,1.0,1.0,1.0
99.0,29.231729204577217,1.0,1.0,1.0
99.5,29.185730926333,1.0,1.0,1.0
100.0,29.14250953436572,1.0,1.0,1.0
